Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:01:34:007;11:01:38:375;11:01:36:187;70.0;65.84092857142836;66.38085000000008;66.72424285714297;0.0;7.892497331566181;4.798223834891298;0.5032910894667163;0
2;11:01:34:164;11:01:38:531;11:01:36:343;70.0;64.86235714285696;66.89937857142863;66.7150000000001;0.0;7.892497331566181;4.824547014016502;0.0;0
3;11:01:34:320;11:01:38:687;11:01:36:500;70.0;64.25534999999986;67.03710000000007;66.7150000000001;0.0;9.236583031538139;0.5032910894667163;0.0;0
4;11:01:34:476;11:01:38:843;11:01:36:656;69.7552142857143;64.0934214285714;66.97452857142862;66.7150000000001;7.892497331566181;4.798223834891298;0.5032910894667163;0.0;0
5;11:01:34:632;11:01:39:000;11:01:36:812;68.77664285714282;64.66527857142863;66.91195714285718;66.7150000000001;7.892497331566181;4.798223834891298;0.5032910894667163;0.0;0
6;11:01:34:789;11:01:39:156;11:01:36:968;67.79807142857133;65.23713571428586;66.8493857142858;65.5165357142858;7.892497331566181;4.798223834891298;0.5032910894667163;77.20425203661323;0
7;11:01:34:945;11:01:39:312;11:01:37:125;66.81949999999985;65.80899285714298;66.7868142857144;60.72325000000012;7.892497331566181;4.798223834891298;0.5032910894667163;77.20425203661323;0
8;11:01:35:101;11:01:39:468;11:01:37:281;65.84092857142836;66.38085000000008;66.72424285714297;55.929964285714426;7.892497331566181;4.798223834891298;0.5032910894667163;77.20425203661323;0
9;11:01:35:257;11:01:39:625;11:01:37:437;64.86235714285696;66.89937857142863;66.7150000000001;51.13667857142873;7.892497331566181;4.824547014016502;0.0;77.20425203661323;0
10;11:01:35:414;11:01:39:781;11:01:37:593;64.25534999999986;67.03710000000007;66.7150000000001;46.34339285714301;9.236583031538139;0.5032910894667163;0.0;77.20425203661323;0
11;11:01:35:570;11:01:39:937;11:01:37:750;64.0934214285714;66.97452857142862;66.7150000000001;41.55010714285717;4.798223834891298;0.5032910894667163;0.0;77.20425203661323;0
12;11:01:35:726;11:01:40:093;11:01:37:906;64.66527857142863;66.91195714285718;66.7150000000001;39.05582857142855;4.798223834891298;0.5032910894667163;0.0;95.24263852189362;0
13;11:01:35:882;11:01:40:250;11:01:38:062;65.23713571428586;66.8493857142858;65.5165357142858;38.1657214285714;4.798223834891298;0.5032910894667163;77.20425203661323;55.77332391098096;0
14;11:01:36:039;11:01:40:406;11:01:38:218;65.80899285714298;66.7868142857144;60.72325000000012;40.87043571428571;4.798223834891298;0.5032910894667163;77.20425203661323;55.77332391098096;0
15;11:01:36:195;11:01:40:562;11:01:38:375;66.38085000000008;66.72424285714297;55.929964285714426;43.57515000000002;4.798223834891298;0.5032910894667163;77.20425203661323;55.77332391098096;0
16;11:01:36:351;11:01:40:718;11:01:38:531;66.89937857142863;66.7150000000001;51.13667857142873;46.279864285714325;4.824547014016502;0.0;77.20425203661323;55.77332391098096;0
