((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing)
10.0:11.5:28.5:417.5;0.193314694025;0.467029125074;0.4094888259994103;0.7086837;0.329715773114;0.200494914847;0.0011719019135063569;0.63206923;9.98730987411;0.424351559586;0.7246731966169331;10.515334;920.756756654;532302.188108;-1.725752647255599;1741.1074;15.0715800661;0.326946820922;4.319540992117472;15.572676;315.419679554;1.81945341692;-0.6567618645758779;317.66296
10.0:11.5:28.5:573.5;0.184832379475;0.444784402553;0.6882183273725073;0.61291564;0.2929134719;0.185908055501;0.17786180980605693;0.5746084;9.95871627054;0.403350449533;0.7983235428606785;10.515334;900.473629046;555846.010458;-1.7638741492570211;1741.1074;14.9915776018;0.419579647685;2.284984316541517;15.343226;315.356150625;1.96329435776;-0.715427894014149;317.66296
10.0:11.5:29.0:230.0;0.171459053046;0.442334491805;0.7865704550370531;0.61291564;0.242190598596;0.208154441945;0.14998918558300955;0.5746084;9.99196147946;0.400959927033;0.9982372347440314;10.515334;878.884337948;579263.738117;-1.8007399961173876;1741.1074;14.9115751375;0.499411685864;1.0155480266026862;15.343226;315.292621696;2.09906344907;-0.7742119348760506;317.66296
10.0:11.5:29.0:386.5;0.153878771354;0.473438178519;0.5221182652047665;0.7086837;0.193109463418;0.213911496223;0.09480466024050482;0.5554548;10.0282849455;0.405424041456;1.12385582910761;10.534488;856.98218757;601962.443446;-1.8330375254197955;1741.1074;14.8315726732;0.566442935459;0.1608130398454355;15.343226;315.229092768;2.22676069084;-0.8259585645003615;317.66296
10.0:11.5:29.0:542.5;0.127029508893;0.511672860783;0.21816952811047274;0.7086837;0.148782530007;0.204684682521;0.07980488622122506;0.5554548;10.0525005705;0.406555907459;1.2512358996963915;10.534488;833.63528425;624031.054834;-1.860193498666806;1741.1074;14.7515702089;0.620673396471;-0.44627436298537715;15.343226;315.165563839;2.34638608309;-0.8670000901865191;317.66296
10.0:11.5:29.0:698.5;0.0677901165214;0.506872820184;0.3295438529734662;0.61291564;0.147277603436;0.203681130815;0.10837648927391186;0.5554548;10.049559117;0.40313398063;1.30086388663221;10.534488;809.666862268;645226.534841;-1.8804184689520325;1741.1074;14.6715677446;0.6621030689;-0.8948289978668416;15.343226;315.102034911;2.4579396258;-0.8954599527955827;317.66296
10.0:11.5:29.5:355.0;0.0475078076857;0.510465862354;0.3249234354802;0.61291564;0.134622539454;0.178439537743;-0.6123101230833101;0.5554548;10.0538002634;0.393378995586;1.5279823202742007;10.515334;758.658488375;640121.935563;-1.8219304323270702;1713.8279;14.5915652804;0.690731952744;-1.2373953797641462;15.343226;315.038505982;2.56142131899;-0.9103758669396411;317.66296
10.0:11.5:29.5:511.5;0.0483628792929;0.505489568264;0.3769126413908266;0.59376204;0.116152984168;0.181569741446;-0.7058909470013544;0.5554548;10.068541692;0.364922650034;2.1538278988676636;10.515334;706.211722446;626083.161881;-1.7341152135553408;1686.9758;14.5193477268;0.721234538196;-1.4942030439657283;15.343226;314.99827275;2.64822573695;-0.9396576306212223;317.66296
10.0:11.5:29.5:667.5;0.0461054893643;0.508222368552;0.36439656994056824;0.59376204;0.0944683573821;0.186332209928;-0.7729928982621126;0.5554548;10.0637532759;0.339701926919;2.299898815373112;10.515334;662.175138129;615944.627266;-1.6450313487124493;1654.0012;14.4475399054;0.742134537247;-1.6815551762859002;15.014818;314.959265607;2.73140840501;-0.9658065577915549;317.66296
10.0:11.5:30.0:323.5;0.0104660872571;0.467403604427;0.1749050781700352;0.4405331;0.0913558951321;0.185420208417;-0.7573072382786012;0.5554548;10.1272680232;0.267504451218;0.7836680347521252;10.515334;600.040150582;581257.106383;-1.4342176996315306;1640.9927;14.3757320839;0.752721809862;-1.814659096855662;15.014818;314.920258464;2.81154795868;-0.9873746593228878;317.66296
10.0:11.5:30.0:480.0;-0.0294828793857;0.4162830762;-0.4216033931430383;0.4405331;0.0934080680464;0.185853375699;-0.7562315022528594;0.5554548;10.1044888946;0.275636079929;1.3564129815776864;10.515334;537.066934889;537043.825711;-1.149682131707187;1571.2528;14.3039242625;0.752996356039;-1.90370615559687;15.014818;314.881251321;2.88864439797;-1.0042429422729917;317.66296
10.0:11.5:30.0:636.5;-0.0633095296714;0.393211224164;-0.2824062339856761;0.4213795;0.0977518342893;0.182962704546;-0.6915455859691129;0.5554548;10.0822912089;0.351661953069;2.172544582233791;10.515334;475.532331214;488546.201438;-0.7547531916799257;1534.4705;14.2758023339;0.733707042509;-1.9279408075190554;15.014818;314.823779179;3.02958798595;-1.0226219042196643;317.66296
10.0:11.5:30.0:792.5;-0.108594145243;0.388778166525;-0.3895757097097685;0.40222588;0.0802399589321;0.198463851161;-0.6764374884805657;0.5554548;10.0896790375;0.338572722672;2.424672289340867;10.515334;410.177041029;421750.290775;-0.27967451486718975;1534.4705;14.2622423696;0.709723149978;-1.9441410341209646;15.014818;314.760152036;3.18536321572;-1.0419984261730113;317.66296
10.0:11.5:30.5:448.5;-0.167183680904;0.390356228863;-0.5101172089364492;0.40222588;0.0915611129679;0.206929198956;-0.705915341791358;0.5554548;10.0705938214;0.323431117284;2.598645098455062;10.515334;350.965323404;364410.385954;0.47180310327783603;350.50885;14.2527875054;0.692992934478;-1.9587739748300947;15.014818;314.688879518;3.33194477063;-1.0444051247042943;317.66296
10.0:11.5:30.5:605.0;-0.221361043882;0.441462197254;-0.4780601756888312;0.40222588;0.091697924525;0.211314319355;-0.7592089611411148;0.5554548;10.0677208;0.321902426081;2.609930376055191;10.515334;292.667957464;302319.376903;1.5887395671273312;133.23631;14.2509563982;0.690292745256;-1.9585488427353015;15.014818;314.603408446;3.46399569257;-1.0103971687345241;317.66296
10.0:11.5:31.0:261.5;-0.227449156959;0.43659544547;-0.4349662405958181;0.40222588;0.0718602532857;0.225454701882;-0.9512279986028305;0.5554548;10.072030375;0.328464519525;2.45989909635846;10.515334;235.41642062;236649.232628;3.3972286584856617;67.56345;14.2491252911;0.687585850126;-1.9583660143944488;15.014818;314.517937375;3.58143600641;-0.9602590354914105;317.66296
10.0:11.5:31.0:417.5;-0.273110005923;0.372104045399;-0.4859855015810002;0.2681506;0.0775721349607;0.227741098395;-0.967804235944747;0.5554548;10.1213509286;0.352997033868;2.3719482527526186;10.534488;179.960742798;169511.270636;6.727790638356069;63.17769;14.2472941839;0.68487224909;-1.9582274437409122;15.014818;314.432466304;3.68426571215;-0.8922921368085563;317.66296
10.0:11.5:31.0:573.5;-0.306868250909;0.346925780327;-0.6917381357778809;0.22984336;0.0743912670929;0.227742969007;-0.972756662859648;0.5554548;10.1221717821;0.357738905619;2.26470473560623;10.553641;155.783266505;149359.33247;8.706571878477742;53.103287;14.2516061304;0.69304993906;-1.9479016548772337;15.014818;314.341294518;3.79331185494;-0.807747391447275;317.66296
10.0:11.5:31.0:730.0;-0.277316962116;0.374458690993;-0.7498192605433842;0.2681506;0.0568109861821;0.214947974107;-0.9439412528681319;0.5554548;10.1035996143;0.380471442218;1.7261332926210935;10.553641;103.701302791;81534.2087145;20.36191704432157;49.4620606;14.2620611304;0.711959988929;-1.9314871223968952;15.014818;314.244422018;3.90545596897;-0.7060487912658528;317.66296
10.0:11.5:31.5:386.5;-0.288980144848;0.371373763635;-0.6987823456978051;0.2681506;0.0178197008964;0.216596180978;-0.9935948970664912;0.47884035;10.1310303321;0.381042521922;1.974294607908238;10.553641;50.7169865946;8203.27614568;254.2440739109353;48.112343;14.2725161304;0.730651424749;-1.9197691212253707;15.014818;314.142919679;3.97826234458;-0.5633393429545213;317.66296
10.0:11.5:31.5:542.5;-0.281797539884;0.373441286664;-0.7201165782934407;0.24899697;-0.0334162153893;0.224301700305;-1.0072503039686331;0.32561144;10.2034036143;0.437801513924;1.9456142835618442;10.572795;42.6407287196;107.57461769;3.749546919041528;47.922768;14.2829711304;0.749124246518;-1.911916881463954;15.014818;313.953450393;3.61364576999;0.037451711081233796;317.66296
10.0:12.0:2.0:198.5;-0.29253724433;0.371009841035;-0.7079298042249262;0.24899697;-0.0472341789964;0.218235964556;-0.936382679966747;0.32561144;10.1842157929;0.438834245207;1.8433287918831658;10.572795;40.8080545554;76.6103410679;0.720889217364995;47.922768;14.2934261304;0.767378454237;-1.9072385202124622;15.014818;313.763981107;3.17723197494;0.8961182636181322;313.36642
10.0:12.0:2.0:355.0;-0.272494356759;0.385657416553;-0.719585367851304;0.2681506;-0.0349211418893;0.22622838509;-0.9992201071371802;0.4405331;10.1712187071;0.439639793238;1.7788063236050444;10.572795;39.1399113536;74.1183501717;0.18029410580824035;47.171906;14.3038811304;0.785414047906;-1.905155725675536;15.014818;313.574511821;2.66902095944;2.19374205737516;313.36642
10.0:12.0:2.0:511.5;-0.28326826483;0.396797498805;-0.7832979935371318;0.2681506;-0.0176144840321;0.235470584673;-1.0841659686732443;0.45968673;10.1448825161;0.443140368052;1.624425673493536;10.553641;37.8048004375;84.5474985742;0.02757970977867652;45.3109584;14.3138913;0.802384135662;-1.9055492987134912;15.307558;313.380246982;2.10313476323;4.283037453219711;313.36642
10.0:12.0:2.0:667.5;-0.276974934634;0.408433540797;-0.8775648452052183;0.30645782;-0.0126550664018;0.238598173372;-1.1107392612004854;0.45968673;10.1138947161;0.484902379102;1.0742071500753214;10.553641;36.5523259375;98.0263389439;-0.2166903380639722;45.167168;14.3213807643;0.814397752668;-1.9090824576967274;15.307558;313.158807339;1.53036879754;7.546356414522522;313.36642
10.0:12.0:2.5:323.5;-0.27406768958;0.421279187923;-0.9636308739050885;0.40222588;0.0100898500071;0.257205924365;-1.1841952825328494;0.47884035;10.0923468696;0.503337789118;0.7811573002202654;10.572795;35.3266252054;110.717710188;-0.5163969285920924;44.250247;14.3288702286;0.826299185523;-1.913039899672296;15.307558;312.937367696;0.859531800988;13.21778200681866;313.36642
10.0:12.0:2.5:480.0;-0.290895507116;0.42169305723;-0.9749735038188025;0.40222588;-0.00263362179643;0.25523327064;-1.192316600158932;0.47884035;10.0728170089;0.533164183352;0.4431894307100399;10.572795;34.1674373;122.119542105;-0.8113109729976715;43.76291;14.3573873304;0.830806100266;-1.8973427893399828;15.307558;312.769634804;0.388364174918;-0.41222132399147293;313.36642
10.0:12.0:2.5:636.5;-0.277282761009;0.423447692431;-0.9953678800410533;0.40222588;0.00348869391786;0.270010565043;-1.1072628191630254;0.5554548;10.0528083196;0.532167568362;0.3416172652374585;10.572795;32.8868223893;131.937094764;-1.0108072050084942;43.418705;14.4249557589;0.815588805729;-1.8138100900582932;15.307558;312.701643018;0.432029031496;-0.6913266616124942;313.36642
10.0:12.0:3.0:292.5;-0.236307710498;0.419883585845;-1.037203381252724;0.4405331;0.0204533242214;0.264759213482;-1.0704771739686882;0.47884035;10.0659422411;0.497904394295;0.4607671992884179;10.572795;31.5809171154;145.47071389;-1.1253619100986512;42.23522;14.4925241875;0.791240526113;-1.6798398301888935;15.307558;312.633651232;0.466448122226;-0.9193258803560092;313.36642
10.0:12.0:3.0:448.5;-0.247047415466;0.419951707929;-1.0360682292741685;0.4405331;0.0431298353286;0.273860035199;-1.1386232012208002;0.5746084;10.0640610875;0.498787951201;0.4478787855913855;10.572795;30.1462305096;158.981777799;-1.1899139875936116;40.922104;14.5600926161;0.757761261418;-1.4857387739300418;15.307558;312.565659446;0.491621447106;-1.0909563430934621;313.36642
10.0:12.0:3.0:605.0;-0.232579596002;0.414291156971;-1.0088752057755643;0.4405331;0.08694372665;0.25988501816;-1.0752496184446125;0.5746084;10.0539369911;0.49577024157;0.4817015933330788;10.572795;28.7240504993;170.953212414;-1.2812256330086336;39.806664;14.6276610446;0.715151011643;-1.2158161995860062;15.307558;312.497667661;0.507549006137;-1.2096686691884297;313.36642
10.0:12.0:3.0:761.5;-0.239488577162;0.386856132132;-0.8766647905903122;0.40222588;0.113006322037;0.246246481542;-0.9346322028733534;0.5746084;10.0494905857;0.492571064028;0.5213467924863227;10.572795;27.3645640921;181.662160251;-1.369283535693058;39.182972;14.6952294732;0.66340977679;-0.8447870200070935;15.307558;312.429675875;0.514230799319;-1.2802789773686432;313.36642
10.0:12.0:3.5:417.5;-0.219206267916;0.368623334867;-0.7529317469967363;0.40222588;0.129389502195;0.236881756692;-0.7868935238626142;0.5746084;10.0382720339;0.48754442564;0.5878560482162429;10.572795;25.9726553379;187.552022143;-1.4414977625425935;38.7830176;14.7627979018;0.602537556857;-0.3307297303082435;15.307558;312.361684089;0.511666826651;-1.3072525419329077;313.36642
10.0:12.0:3.5:573.5;-0.210245113384;0.357284983724;-0.6670998454066353;0.40222588;0.141702539409;0.234874971392;-0.7107491965782384;0.5746084;10.0226071482;0.497402792888;0.46356382668750484;10.572795;24.6696864021;192.517245475;-1.4857179139961305;38.114937;14.8303663304;0.532534351845;0.39972951171365567;15.307558;312.293692304;0.499857088134;-1.2949551585230998;312.67706
10.0:12.0:4.0:230.0;-0.203541348941;0.363726210131;-0.7290694369257826;0.40222588;0.133322833248;0.225943832219;-0.66669604890977;0.5554548;10.0216152679;0.498611761066;0.44728510264125676;10.572795;23.2608354207;190.362994756;-1.5232096598720097;37.964756;14.8979347589;0.453400161753;1.4860243831284068;15.307558;312.225700518;0.478801583768;-1.2493419162359296;312.67706
10.0:12.0:4.0:386.5;-0.24249843037;0.374691773181;-0.7786317962743237;0.36391866;0.134656745248;0.225835967273;-0.6703947004762245;0.5554548;10.0296529554;0.503198491846;0.3863191988952477;10.572795;21.9967398171;190.029339578;-1.4988336262434736;37.815166;14.9655031875;0.365134986583;3.2273956259296694;15.307558;312.157708732;0.448500313553;-1.1823269943716528;312.67706
10.0:12.0:4.0:542.5;-0.261310015405;0.374311178209;-0.7468069056017588;0.36391866;0.134998774641;0.221948036412;-0.6555636668606395;0.5554548;10.0440865518;0.503112950041;0.38954731306740964;10.572795;20.8074171761;189.28225783;-1.4299517245472777;36.784416;15.0330716161;0.267738826333;6.3996944033578345;15.307558;312.089716946;0.408953277488;-1.1234276719648126;312.67706
10.0:12.0:4.0:698.5;-0.282892033959;0.364699889567;-0.65366720360614;0.30645782;0.14529384187;0.216267056059;-0.5255069074654162;0.5554548;10.0331758393;0.477951700383;0.5610037168947728;10.572795;19.5548815082;183.201170242;-1.3149256688426005;35.500336;15.1006400446;0.161211681004;13.808576357304844;15.307558;312.021725161;0.360160475575;-1.1544279149001038;312.67706
