Time_Biotrace;ECG;SCR;Temp;HR;RR;HRV_LF
10:12:32:742;6217.63;4.11;36.143;72.543;827.0957;75.891
10:12:32:750;6190.892;4.109;36.143;72.543;827.0957;76.361
10:12:32:757;6169.857;4.109;36.143;72.543;827.0957;76.361
10:12:32:765;6245.554;4.109;36.141;72.543;827.0957;76.361
10:12:32:773;6189.072;4.109;36.141;72.543;827.0957;76.361
10:12:32:781;6154.051;4.109;36.14;72.543;827.0957;76.361
10:12:32:789;6198.526;4.109;36.141;72.543;827.0957;76.361
10:12:32:796;6192.04;4.109;36.14;72.543;827.0957;76.361
10:12:32:804;6244.699;4.108;36.14;72.543;827.0957;76.361
10:12:32:812;6316.853;4.108;36.143;72.543;827.0957;76.361
10:12:32:820;6345.668;4.108;36.141;72.543;827.0957;76.361
10:12:32:828;6408.502;4.108;36.139;72.543;827.0957;76.361
10:12:32:835;6409.699;4.108;36.141;72.543;827.0957;76.361
10:12:32:843;6323.583;4.107;36.141;72.543;827.0957;76.361
10:12:32:851;6340.257;4.107;36.142;72.543;827.0957;76.361
10:12:32:859;6379.479;4.107;36.137;72.543;827.0957;76.361
10:12:32:867;6421.474;4.107;36.135;72.543;827.0957;76.361
10:12:32:875;6432.834;4.107;36.137;72.543;827.0957;76.361
10:12:32:882;6320.933;4.106;36.139;72.543;827.0957;76.361
10:12:32:890;6312.761;4.106;36.138;72.543;827.0957;76.361
10:12:32:898;6342.003;4.106;36.139;72.543;827.0957;76.361
10:12:32:906;6373.506;4.106;36.138;72.543;827.0957;76.361
10:12:32:914;6303.783;4.106;36.138;72.543;827.0957;76.361
10:12:32:921;6276.812;4.105;36.136;72.543;827.0957;76.361
10:12:32:929;6237.321;4.106;36.138;72.543;827.0957;76.361
10:12:32:937;6174.682;4.105;36.138;72.543;827.0957;76.361
10:12:32:945;6167.366;4.105;36.135;72.543;827.0957;76.361
10:12:32:953;6157.374;4.105;36.136;72.543;827.0957;76.361
10:12:32:960;6184.821;4.105;36.137;72.543;827.0957;76.361
10:12:32:968;6152.891;4.105;36.137;72.543;827.0957;76.361
10:12:32:976;6136.828;4.104;36.137;72.543;827.0957;76.361
10:12:32:984;6231.812;4.104;36.133;72.543;827.0957;76.361
10:12:32:992;6206.111;4.104;36.134;72.543;827.0957;76.361
10:12:33:000;6161.197;4.104;36.134;63.215;949.1418;76.743
10:12:33:007;6166.767;4.104;36.133;63.215;949.1418;76.743
10:12:33:015;6155.688;4.104;36.131;63.215;949.1418;76.743
10:12:33:023;6165.655;4.104;36.133;63.215;949.1418;76.743
10:12:33:031;6216.555;4.103;36.134;63.215;949.1418;76.743
10:12:33:039;6174.023;4.103;36.135;63.215;949.1418;76.743
10:12:33:046;6149.349;4.103;36.135;63.215;949.1418;76.743
10:12:33:054;6212.219;4.102;36.133;63.215;949.1418;76.743
10:12:33:062;6270.008;4.102;36.133;63.215;949.1418;76.743
10:12:33:070;6196.266;4.102;36.132;63.215;949.1418;76.743
10:12:33:078;6138.025;4.101;36.131;63.215;949.1418;76.743
10:12:33:085;6170.847;4.101;36.13;63.215;949.1418;76.743
10:12:33:093;6129.328;4.1;36.132;63.215;949.1418;76.743
10:12:33:101;6162.968;4.1;36.132;63.215;949.1418;76.743
10:12:33:109;6178.115;4.099;36.134;63.215;949.1418;76.743
10:12:33:117;6163.909;4.099;36.135;63.215;949.1418;76.743
10:12:33:125;6110.615;4.099;36.135;63.215;949.1418;76.743
10:12:33:132;6110.761;4.098;36.135;63.215;949.1418;76.743
10:12:33:140;6174.01;4.098;36.133;63.215;949.1418;76.743
10:12:33:148;6260.627;4.098;36.131;63.215;949.1418;76.743
10:12:33:156;6189.267;4.097;36.132;63.215;949.1418;76.743
10:12:33:164;6131.343;4.097;36.129;63.215;949.1418;76.743
10:12:33:171;6175.098;4.096;36.131;63.215;949.1418;76.743
10:12:33:179;6156.836;4.096;36.131;63.215;949.1418;76.743
10:12:33:187;6104.373;4.096;36.131;63.215;949.1418;76.743
10:12:33:195;6125.786;4.095;36.128;63.215;949.1418;76.743
10:12:33:203;6146.844;4.095;36.127;63.215;949.1418;76.743
10:12:33:210;6144.866;4.095;36.128;63.215;949.1418;76.743
10:12:33:218;6254.495;4.094;36.131;63.215;949.1418;76.743
10:12:33:226;6180.094;4.094;36.13;63.215;949.1418;76.743
10:12:33:234;6229.088;4.094;36.127;63.215;949.1418;76.743
10:12:33:242;6241.083;4.094;36.13;63.215;949.1418;76.743
10:12:33:250;6237.651;4.094;36.129;63.215;949.1418;77.166
10:12:33:257;6238.958;4.094;36.129;63.215;949.1418;77.166
10:12:33:265;6316.132;4.094;36.127;63.215;949.1418;77.166
10:12:33:273;6364.919;4.094;36.127;63.215;949.1418;77.166
10:12:33:281;6313.078;4.093;36.127;63.215;949.1418;77.166
10:12:33:289;6206.014;4.093;36.128;63.215;949.1418;77.166
10:12:33:296;6271.56;4.093;36.127;63.215;949.1418;77.166
10:12:33:304;6272.073;4.093;36.127;63.215;949.1418;77.166
10:12:33:312;6198.294;4.093;36.125;63.215;949.1418;77.166
10:12:33:320;6150.985;4.093;36.128;63.215;949.1418;77.166
10:12:33:328;6153.196;4.093;36.126;63.215;949.1418;77.166
10:12:33:335;6144.084;4.092;36.126;63.215;949.1418;77.166
10:12:33:343;6160.317;4.092;36.127;63.215;949.1418;77.166
10:12:33:351;6153.233;4.092;36.125;63.215;949.1418;77.166
10:12:33:359;6149.666;4.092;36.125;63.215;949.1418;77.166
10:12:33:367;6189.829;4.092;36.123;63.215;949.1418;77.166
10:12:33:375;6253.518;4.092;36.124;63.215;949.1418;77.166
10:12:33:382;6042.149;4.092;36.124;63.215;949.1418;77.166
10:12:33:390;6523.018;4.092;36.124;63.215;949.1418;77.166
10:12:33:398;7544.228;4.091;36.123;63.215;949.1418;77.166
10:12:33:406;8378.916;4.091;36.122;95.21;630.1859;77.166
10:12:33:414;8268.504;4.091;36.124;95.21;630.1859;77.166
10:12:33:421;7058.022;4.091;36.121;95.21;630.1859;77.166
10:12:33:429;6322.423;4.091;36.122;95.21;630.1859;77.166
10:12:33:437;6204.584;4.091;36.119;95.21;630.1859;77.166
10:12:33:445;6260.114;4.091;36.122;95.21;630.1859;77.166
10:12:33:453;6144.206;4.091;36.121;95.21;630.1859;77.166
10:12:33:460;6237.932;4.09;36.121;95.21;630.1859;77.166
10:12:33:468;6312.651;4.091;36.121;95.21;630.1859;77.166
10:12:33:476;6276.666;4.09;36.121;95.21;630.1859;77.166
10:12:33:484;6288.514;4.09;36.122;95.21;630.1859;77.166
10:12:33:492;6281.307;4.09;36.121;95.21;630.1859;77.166
10:12:33:500;6286.389;4.09;36.12;95.21;630.1859;77.535
10:12:33:507;6204.572;4.09;36.12;95.21;630.1859;77.535
10:12:33:515;6225.497;4.09;36.116;95.21;630.1859;77.535
10:12:33:523;6266.942;4.09;36.119;95.21;630.1859;77.535
10:12:33:531;6242.317;4.09;36.119;95.21;630.1859;77.535
10:12:33:539;6334.54;4.09;36.117;95.21;630.1859;77.535
10:12:33:546;6386.613;4.09;36.115;95.21;630.1859;77.535
10:12:33:554;6409.907;4.09;36.117;95.21;630.1859;77.535
10:12:33:562;6331.45;4.09;36.117;95.21;630.1859;77.535
10:12:33:570;6420.57;4.09;36.117;95.21;630.1859;77.535
10:12:33:578;6394.968;4.09;36.117;95.21;630.1859;77.535
10:12:33:585;6428.253;4.089;36.116;95.21;630.1859;77.535
10:12:33:593;6377.061;4.089;36.116;95.21;630.1859;77.535
10:12:33:601;6366.238;4.089;36.116;95.21;630.1859;77.535
10:12:33:609;6448.152;4.089;36.115;95.21;630.1859;77.535
10:12:33:617;6554.104;4.089;36.114;95.21;630.1859;77.535
10:12:33:625;6544.503;4.089;36.115;95.21;630.1859;77.535
10:12:33:632;6538.335;4.089;36.115;95.21;630.1859;77.535
10:12:33:640;6582.7;4.089;36.112;95.21;630.1859;77.535
10:12:33:648;6593.278;4.089;36.114;95.21;630.1859;77.535
10:12:33:656;6562.57;4.089;36.113;95.21;630.1859;77.535
10:12:33:664;6649.382;4.089;36.112;95.21;630.1859;77.535
10:12:33:671;6654.121;4.089;36.111;95.21;630.1859;77.535
10:12:33:679;6741.031;4.089;36.112;95.21;630.1859;77.535
10:12:33:687;6705.314;4.089;36.112;95.21;630.1859;77.535
10:12:33:695;6600.791;4.089;36.113;95.21;630.1859;77.535
