Time_Accel;AccelX;AccelY;AccelZ
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:25:960;-0.47884035;10.266336;-1.0151415
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:078;-0.2873042;9.730036;-0.11492168
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:198;-0.842759;10.323798;-0.49799395
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:317;-0.842759;9.9790325;0.11492168
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:436;-0.38307226;9.864111;-0.22984336
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:589;-0.4405331;10.802638;-1.0534488
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:698;-0.19153613;9.232041;-0.095768064
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:816;-0.17238252;9.998186;-1.0342951
10:25:26:918;-0.2681506;9.787497;-0.15322891
10:25:26:918;-0.2681506;9.787497;-0.15322891
