ECG;SCR;Temp;HR;HRV_LF
-13307.045;5.113;34.008;70;67.836
-13264.231;5.113;34.008;70;67.836
-13201.397;5.113;34.008;70;67.836
-13258.723;5.112;34.008;70;67.836
-13211.572;5.112;34.009;70;67.836
-13068.474;5.112;34.01;70;67.836
-13249.219;5.111;34.01;70;67.836
-13068.815;5.111;34.008;70;67.836
-13129.684;5.111;34.01;70;67.836
-13275.029;5.11;34.009;70;67.836
-13307.644;5.11;34.008;70;67.836
-13252.456;5.11;34.006;70;67.836
-13295.722;5.11;34.007;70;67.836
-13204.806;5.109;34.007;70;67.836
-13228.661;5.109;34.007;70;67.836
-13211.011;5.109;34.006;70;67.836
-12989.602;5.109;34.007;70;67.836
-13217.351;5.109;34.006;70;67.836
-13242.733;5.108;34.008;70;67.836
-13335.066;5.108;34.007;70;67.836
-13355.245;5.108;34.008;70;67.836
-13332.501;5.107;34.008;70;67.836
-13429.134;5.108;34.008;70;67.836
-13330.877;5.107;34.008;70;67.836
-13323.67;5.107;34.006;70;67.836
-13311.943;5.107;34.007;70;67.836
-13290.273;5.106;34.007;70;67.836
-13161.699;5.106;34.008;70;67.836
-13219.732;5.106;34.006;70;67.836
-13359.716;5.105;34.008;70;67.836
-13381.117;5.105;34.007;70;67.836
-13248.719;5.105;34.005;70;70.064
-13353.56;5.104;34.006;70;70.064
-13424.383;5.105;34.008;70;70.064
-13346.499;5.104;34.009;70;70.064
-13330.352;5.104;34.006;70;70.064
-13330.889;5.104;34.006;70;70.064
-13317.721;5.104;34.007;70;70.064
-13173.682;5.104;34.007;70;70.064
-13176.552;5.104;34.006;70;70.064
-13317.306;5.103;34.006;70;70.064
-13341.906;5.103;34.008;70;70.064
-13212.403;5.102;34.009;70;70.064
-13314.936;5.103;34.009;70;70.064
-13312.505;5.102;34.008;70;70.064
-13369.244;5.102;34.007;70;70.064
-13407.563;5.102;34.004;70;70.064
-13390.693;5.101;34.004;70;70.064
-13359.924;5.101;34.004;70;70.064
-13276.532;5.101;34.003;70;70.064
-13253.678;5.101;34.003;70;70.064
-13162.725;5.101;34.003;70;70.064
-13375.021;5.1;34.004;70;70.064
-13465.363;5.1;34.003;70;70.064
-13420.046;5.1;34.003;70;70.064
-13474.745;5.1;34.002;70;70.064
-13458.389;5.099;34.001;70;70.064
-12763.355;5.099;34.001;70;70.064
-11919.751;5.099;34.001;70;70.064
-11965.081;5.099;34.004;70;70.064
-13350.579;5.098;34.005;70;70.064
