Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:32:250;11:31:32:156;-0.91937345;9.097966;1.8195933
11:31:32:257;11:31:32:156;-0.91937345;9.097966;1.8195933
11:31:32:265;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:273;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:281;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:289;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:296;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:304;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:312;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:320;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:328;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:335;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:343;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:351;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:359;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:367;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:375;11:31:32:259;-0.4213795;11.300632;-0.32561144
11:31:32:382;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:390;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:398;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:406;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:414;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:421;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:429;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:437;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:445;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:453;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:460;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:468;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:476;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:484;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:492;11:31:32:377;-0.47884035;10.132261;-0.2681506
11:31:32:500;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:507;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:515;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:523;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:531;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:539;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:546;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:554;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:562;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:570;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:578;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:585;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:593;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:601;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:609;11:31:32:495;-0.38307226;10.342952;-1.2066777
11:31:32:617;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:625;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:632;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:640;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:648;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:656;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:664;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:671;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:679;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:687;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:695;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:703;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:710;11:31:32:612;-1.2258313;10.419566;-0.6512229
11:31:32:718;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:726;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:734;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:742;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:750;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:757;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:765;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:773;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:781;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:789;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:796;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:804;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:812;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:820;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:828;11:31:32:714;-0.4405331;8.197746;0.8619126
11:31:32:835;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:843;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:851;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:859;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:867;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:875;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:882;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:890;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:898;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:906;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:914;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:921;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:929;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:937;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:945;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:953;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:960;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:968;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:976;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:984;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:992;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:000;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:007;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:015;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:023;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:031;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:039;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:046;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:054;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:062;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:070;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:078;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:085;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:093;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:101;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:109;11:31:33:070;0.21068975;10.611102;-0.842759
