median(time1,time2);stress/non-stress
11:33:34:476;1
11:33:34:632;1
11:33:34:789;1
11:33:34:945;1
11:33:35:101;1
11:33:35:257;1
11:33:35:414;1
11:33:35:570;1
11:33:35:726;1
11:33:35:882;1
11:33:36:039;0
11:33:36:195;0
11:33:36:351;0
11:33:36:507;0
11:33:36:664;0
11:33:36:820;0
11:33:36:976;0
11:33:37:132;0
11:33:37:289;0
11:33:37:445;0
11:33:37:601;0
11:33:37:757;0
11:33:37:914;0
11:33:38:070;0
11:33:38:226;0
11:33:38:382;0
11:33:38:539;0
11:33:38:695;0
11:33:38:851;0
11:33:39:007;0
11:33:39:164;0
11:33:39:320;0
11:33:39:476;0
11:33:39:632;0
11:33:39:789;0
11:33:39:945;0
11:33:40:101;0
11:33:40:257;0
11:33:40:414;0
11:33:40:570;0
11:33:40:726;0
11:33:40:882;0
11:33:41:039;0
11:33:41:195;0
11:33:41:351;0
11:33:41:507;0
11:33:41:664;0
11:33:41:820;0
11:33:41:976;0
11:33:42:132;0
11:33:42:289;0
11:33:42:445;0
11:33:42:601;0
11:33:42:757;0
11:33:42:914;0
11:33:43:070;0
11:33:43:226;0
11:33:43:382;0
11:33:43:539;0
11:33:43:695;0
11:33:43:851;0
11:33:44:007;0
11:33:44:164;0
11:33:44:320;0
11:33:44:476;0
11:33:44:632;0
11:33:44:789;0
11:33:44:945;0
11:33:45:101;0
11:33:45:257;0
11:33:45:414;0
11:33:45:570;0
11:33:45:726;0
11:33:45:882;0
11:33:46:039;0
11:33:46:195;0
11:33:46:351;0
11:33:46:507;0
11:33:46:664;0
11:33:46:820;0
11:33:46:976;0
11:33:47:132;0
11:33:47:289;0
11:33:47:445;0
11:33:47:601;0
11:33:47:757;0
11:33:47:914;0
11:33:48:070;0
11:33:48:226;0
11:33:48:382;0
11:33:48:539;0
11:33:48:695;0
11:33:48:851;0
11:33:49:007;0
11:33:49:164;0
11:33:49:320;0
11:33:49:476;0
11:33:49:632;0
11:33:49:789;0
11:33:49:945;0
11:33:50:101;0
11:33:50:257;0
11:33:50:414;0
11:33:50:570;0
11:33:50:726;0
11:33:50:882;0
11:33:51:039;0
11:33:51:195;0
11:33:51:351;0
11:33:51:507;0
11:33:51:664;0
11:33:51:820;0
11:33:51:976;0
11:33:52:132;0
11:33:52:289;0
11:33:52:445;0
11:33:52:601;0
11:33:52:757;0
11:33:52:914;0
11:33:53:070;0
11:33:53:226;0
11:33:53:382;0
11:33:53:539;0
11:33:53:695;0
11:33:53:851;0
11:33:54:007;0
11:33:54:164;0
11:33:54:320;0
11:33:54:476;0
11:33:54:632;0
11:33:54:789;0
11:33:54:945;0
11:33:55:101;0
11:33:55:257;0
11:33:55:414;0
11:33:55:570;0
11:33:55:726;0
11:33:55:882;0
11:33:56:039;0
11:33:56:195;0
11:33:56:351;0
11:33:56:507;0
11:33:56:664;0
11:33:56:820;0
11:33:56:976;0
11:33:57:132;0
11:33:57:289;0
11:33:57:445;0
11:33:57:601;0
11:33:57:757;0
11:33:57:914;0
11:33:58:070;0
11:33:58:226;0
11:33:58:382;0
11:33:58:539;0
11:33:58:695;0
11:33:58:851;0
11:33:59:007;0
11:33:59:164;1
11:33:59:320;1
11:33:59:476;1
11:33:59:632;1
11:33:59:789;1
11:33:59:945;0
11:34:00:101;0
11:34:00:257;0
11:34:00:414;0
11:34:00:570;0
11:34:00:726;0
11:34:00:882;0
11:34:01:039;0
11:34:01:195;0
11:34:01:351;0
11:34:01:507;0
11:34:01:664;0
11:34:01:820;0
11:34:01:976;0
11:34:02:132;1
11:34:02:289;1
11:34:02:445;1
11:34:02:601;1
11:34:02:757;1
11:34:02:914;1
11:34:03:070;1
11:34:03:226;0
11:34:03:382;0
11:34:03:539;0
11:34:03:695;0
11:34:03:851;0
11:34:04:007;0
11:34:04:164;0
11:34:04:320;0
11:34:04:476;0
11:34:04:632;1
11:34:04:789;1
11:34:04:945;0
11:34:05:101;0
11:34:05:257;0
11:34:05:414;0
11:34:05:570;0
11:34:05:726;0
11:34:05:882;0
11:34:06:039;0
11:34:06:195;0
11:34:06:351;0
11:34:06:507;1
11:34:06:664;1
11:34:06:820;1
11:34:06:976;1
11:34:07:132;1
11:34:07:289;0
11:34:07:445;0
11:34:07:601;0
11:34:07:757;0
11:34:07:914;0
11:34:08:070;0
11:34:08:226;1
11:34:08:382;1
11:34:08:539;1
11:34:08:695;1
11:34:08:851;1
11:34:09:007;1
11:34:09:164;1
11:34:09:320;1
11:34:09:476;1
11:34:09:632;1
11:34:09:789;0
11:34:09:945;0
11:34:10:101;1
11:34:10:257;0
11:34:10:414;0
11:34:10:570;0
11:34:10:726;0
11:34:10:882;0
11:34:11:039;0
11:34:11:195;0
11:34:11:351;0
11:34:11:507;0
11:34:11:664;0
11:34:11:820;0
11:34:11:976;0
11:34:12:132;0
11:34:12:289;0
11:34:12:445;0
11:34:12:601;0
11:34:12:757;0
11:34:12:914;0
11:34:13:070;0
11:34:13:226;0
11:34:13:382;0
11:34:13:539;0
11:34:13:695;0
11:34:13:851;0
11:34:14:007;0
11:34:14:164;0
11:34:14:320;0
11:34:14:476;0
11:34:14:632;0
