Time_Biotrace;Time_Light;Lightning
11:30:36:007;11:30:35:910;508.00882
11:30:36:015;11:30:36:011;498.07898
11:30:36:023;11:30:36:011;498.07898
11:30:36:031;11:30:36:011;498.07898
11:30:36:039;11:30:36:011;498.07898
11:30:36:046;11:30:36:011;498.07898
11:30:36:054;11:30:36:011;498.07898
11:30:36:062;11:30:36:011;498.07898
11:30:36:070;11:30:36:011;498.07898
11:30:36:078;11:30:36:011;498.07898
11:30:36:085;11:30:36:011;498.07898
11:30:36:093;11:30:36:011;498.07898
11:30:36:101;11:30:36:011;498.07898
11:30:36:109;11:30:36:011;498.07898
11:30:36:117;11:30:36:115;502.02734
11:30:36:125;11:30:36:115;502.02734
11:30:36:132;11:30:36:115;502.02734
11:30:36:140;11:30:36:115;502.02734
11:30:36:148;11:30:36:115;502.02734
11:30:36:156;11:30:36:115;502.02734
11:30:36:164;11:30:36:115;502.02734
11:30:36:171;11:30:36:115;502.02734
11:30:36:179;11:30:36:115;502.02734
11:30:36:187;11:30:36:115;502.02734
11:30:36:195;11:30:36:115;502.02734
11:30:36:203;11:30:36:115;502.02734
11:30:36:210;11:30:36:115;502.02734
11:30:36:218;11:30:36:115;502.02734
11:30:36:226;11:30:36:115;502.02734
11:30:36:234;11:30:36:115;502.02734
11:30:36:242;11:30:36:115;502.02734
11:30:36:250;11:30:36:115;502.02734
11:30:36:257;11:30:36:115;502.02734
11:30:36:265;11:30:36:264;514.0613
11:30:36:273;11:30:36:264;514.0613
11:30:36:281;11:30:36:264;514.0613
11:30:36:289;11:30:36:264;514.0613
11:30:36:296;11:30:36:264;514.0613
11:30:36:304;11:30:36:264;514.0613
11:30:36:312;11:30:36:264;514.0613
11:30:36:320;11:30:36:264;514.0613
11:30:36:328;11:30:36:264;514.0613
11:30:36:335;11:30:36:264;514.0613
11:30:36:343;11:30:36:264;514.0613
11:30:36:351;11:30:36:264;514.0613
11:30:36:359;11:30:36:264;514.0613
11:30:36:367;11:30:36:264;514.0613
11:30:36:375;11:30:36:370;488.3432
11:30:36:382;11:30:36:370;488.3432
11:30:36:390;11:30:36:370;488.3432
11:30:36:398;11:30:36:370;488.3432
11:30:36:406;11:30:36:370;488.3432
11:30:36:414;11:30:36:370;488.3432
11:30:36:421;11:30:36:370;488.3432
11:30:36:429;11:30:36:370;488.3432
11:30:36:437;11:30:36:370;488.3432
11:30:36:445;11:30:36:370;488.3432
11:30:36:453;11:30:36:370;488.3432
11:30:36:460;11:30:36:370;488.3432
11:30:36:468;11:30:36:370;488.3432
11:30:36:476;11:30:36:370;488.3432
11:30:36:484;11:30:36:370;488.3432
11:30:36:492;11:30:36:370;488.3432
11:30:36:500;11:30:36:498;469.43912
11:30:36:507;11:30:36:498;469.43912
11:30:36:515;11:30:36:498;469.43912
11:30:36:523;11:30:36:498;469.43912
11:30:36:531;11:30:36:498;469.43912
11:30:36:539;11:30:36:498;469.43912
11:30:36:546;11:30:36:498;469.43912
11:30:36:554;11:30:36:498;469.43912
11:30:36:562;11:30:36:498;469.43912
11:30:36:570;11:30:36:498;469.43912
11:30:36:578;11:30:36:498;469.43912
11:30:36:585;11:30:36:498;469.43912
11:30:36:593;11:30:36:498;469.43912
11:30:36:601;11:30:36:498;469.43912
11:30:36:609;11:30:36:606;492.21442
11:30:36:617;11:30:36:606;492.21442
11:30:36:625;11:30:36:606;492.21442
11:30:36:632;11:30:36:606;492.21442
11:30:36:640;11:30:36:606;492.21442
11:30:36:648;11:30:36:606;492.21442
11:30:36:656;11:30:36:606;492.21442
11:30:36:664;11:30:36:606;492.21442
11:30:36:671;11:30:36:606;492.21442
11:30:36:679;11:30:36:606;492.21442
11:30:36:687;11:30:36:606;492.21442
11:30:36:695;11:30:36:606;492.21442
11:30:36:703;11:30:36:606;492.21442
11:30:36:710;11:30:36:707;502.02734
11:30:36:718;11:30:36:707;502.02734
11:30:36:726;11:30:36:707;502.02734
11:30:36:734;11:30:36:707;502.02734
11:30:36:742;11:30:36:707;502.02734
11:30:36:750;11:30:36:707;502.02734
11:30:36:757;11:30:36:707;502.02734
11:30:36:765;11:30:36:707;502.02734
11:30:36:773;11:30:36:707;502.02734
11:30:36:781;11:30:36:707;502.02734
11:30:36:789;11:30:36:707;502.02734
11:30:36:796;11:30:36:707;502.02734
11:30:36:804;11:30:36:707;502.02734
11:30:36:812;11:30:36:808;500.0494
11:30:36:820;11:30:36:808;500.0494
11:30:36:828;11:30:36:808;500.0494
11:30:36:835;11:30:36:808;500.0494
11:30:36:843;11:30:36:808;500.0494
11:30:36:851;11:30:36:808;500.0494
11:30:36:859;11:30:36:808;500.0494
11:30:36:867;11:30:36:808;500.0494
11:30:36:875;11:30:36:808;500.0494
11:30:36:882;11:30:36:808;500.0494
11:30:36:890;11:30:36:808;500.0494
11:30:36:898;11:30:36:808;500.0494
11:30:36:906;11:30:36:808;500.0494
11:30:36:914;11:30:36:808;500.0494
11:30:36:921;11:30:36:808;500.0494
11:30:36:929;11:30:36:922;494.16162
11:30:36:937;11:30:36:922;494.16162
11:30:36:945;11:30:36:922;494.16162
11:30:36:953;11:30:36:922;494.16162
11:30:36:960;11:30:36:922;494.16162
11:30:36:968;11:30:36:922;494.16162
11:30:36:976;11:30:36:922;494.16162
11:30:36:984;11:30:36:922;494.16162
