((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stress/non-stress
ess
11:30:38:187;0.393025310714;0.00574516250391;-0.011467817831208205;0.45968673;-0.453769626196;0.00337482948629;-0.9007859409997656;-0.40222588;9.9661038;0.00321057500834;-0.7928278495690715;10.01734;494.912326839;172.570836521;0.027593092933893892;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:38:343;0.390015456786;0.00543701803183;0.34646017379218774;0.4405331;-0.452059481911;0.0035940569827;-0.9630241416914345;-0.40222588;9.965830175;0.00325583394463;-0.7918979622545526;10.01734;494.401694125;174.503632334;-0.07592755759662184;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:38:500;0.388373718339;0.00539423006781;0.46078329205258495;0.4405331;-0.453769626125;0.00335910688075;-0.9178838346944951;-0.40222588;9.9636069875;0.00323215108148;-0.8373345474240095;10.01734;493.666452911;170.547258358;-0.04600599561806362;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:38:656;0.388236905982;0.00480868435464;0.25854375029846066;0.4405331;-0.454727306518;0.00330925304282;-0.8635407790828293;-0.40222588;9.96381221964;0.00332098577232;-0.828149143550998;10.01734;493.373722946;166.489683202;0.012421888325219399;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:38:812;0.385021834768;0.00422885676401;-0.31053581550316967;0.4405331;-0.453735422464;0.0033069472599;-0.7952832425131597;-0.40222588;9.96069976607;0.00320541610364;-0.7922814334769908;10.01734;494.117252768;151.873426262;0.27563782578909146;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:38:968;0.379480967196;0.00377690642137;-0.47975214180497217;0.4405331;-0.45335919125;0.00336718330394;-0.8000231469191892;-0.40222588;9.9573137;0.00359715793954;-0.7170186150195299;10.01734;494.051464768;152.24480663;0.25695819692104793;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:39:125;0.379925604321;0.00373469994198;-0.40466384520944576;0.4405331;-0.44993890375;0.00345370451296;-0.8682282032461877;-0.40222588;9.95878443482;0.00393861196052;-0.006648025327641971;10.01734;494.037737732;155.94678491;0.13685402147986236;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:39:281;0.375889664089;0.00382665380966;-0.2706435004617007;0.4213795;-0.450862382036;0.00346102886959;-0.8687436186554787;-0.40222588;9.96131545357;0.00444873065075;0.29984258943226116;10.01734;494.807207982;172.887369705;-0.06165926430055979;506.00702;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:39:437;0.380472850429;0.00425931105193;-0.5081928865051677;0.4405331;-0.450486150304;0.00367763938077;-0.8946133778357783;-0.40222588;9.95792937321;0.00478437573394;0.09236754817831283;10.01734;495.336814125;165.279297904;0.12328807166085953;506.00702;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
