Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:34:44:187;11:34:48:554;11:34:46:370;97.5292;93.5687142857;93.9668571429;101.143542857;5.28536908814;1.9080307279;3.33571774874;1.8657617972;0
2;11:34:44:343;11:34:48:710;11:34:46:526;96.3187714286;93.103;94.9101428571;101.777542857;5.28536984132;1.9080307279;3.33571774874;1.8657617972;1
3;11:34:44:500;11:34:48:867;11:34:46:683;95.1083428571;92.716;95.8770571429;102.3092;5.28536984132;1.95188969992;3.77751863098;0.411267350632;1
4;11:34:44:656;11:34:49:023;11:34:46:339;94.1814285714;92.3488571429;97.2342;102.691657143;0.825190956754;1.95188969992;3.77751942605;1.15078501599;1
5;11:34:44:812;11:34:49:179;11:34:46:495;94.3878571429;91.9817142857;98.5913428571;103.139514286;0.825190956754;0.411462389021;3.77751942605;1.15078501599;1
6;11:34:44:968;11:34:49:335;11:34:46:651;94.1284285714;92.0804285714;99.9484857143;103.587371429;2.0788269225;0.411451263258;3.77751942605;1.15078501599;1
7;11:34:45:125;11:34:49:492;11:34:47:308;93.8691428571;93.0235714286;100.509542857;103.986742857;2.0788269225;3.33571774874;1.8657617972;1.07478896818;1
8;11:34:45:281;11:34:49:648;11:34:47:464;93.5687142857;93.9668571429;101.143542857;104.313028571;1.9080307279;3.33571774874;1.8657617972;1.07478896818;1
9;11:34:45:437;11:34:49:804;11:34:47:620;93.103;94.9101428571;101.777542857;104.639314286;1.9080307279;3.33571774874;1.8657617972;1.07478896818;1
10;11:34:45:593;11:34:49:960;11:34:47:776;92.716;95.8770571429;102.3092;104.9656;1.95188969992;3.77751863098;0.411267350632;1.07478896818;0
11;11:34:45:750;11:34:50:117;11:34:47:433;92.3488571429;97.2342;102.691657143;102.807485714;1.95188969992;3.77751942605;1.15078501599;15.8924732092;0
12;11:34:45:906;11:34:50:273;11:34:47:589;91.9817142857;98.5913428571;103.139514286;99.1016285714;0.411462389021;3.77751942605;1.15078501599;15.8924732092;0
13;11:34:46:062;11:34:50:429;11:34:48:245;92.0804285714;99.9484857143;103.587371429;95.3957714286;0.411451263258;3.77751942605;1.15078501599;15.8924732092;0
14;11:34:46:218;11:34:50:585;11:34:48:401;93.0235714286;100.509542857;103.986742857;91.6899142857;3.33571774874;1.8657617972;1.07478896818;15.8924732092;0
15;11:34:46:375;11:34:50:742;11:34:48:558;93.9668571429;101.143542857;104.313028571;92.2483428571;3.33571774874;1.8657617972;1.07478896818;23.7353253821;0
16;11:34:46:531;11:34:50:898;11:34:48:714;94.9101428571;101.777542857;104.639314286;92.8069142857;3.33571774874;1.8657617972;1.07478896818;23.7353253821;0
17;11:34:46:687;11:34:51:054;11:34:48:370;95.8770571429;102.3092;104.9656;93.3654857143;3.77751863098;0.411267350632;1.07478896818;23.7353253821;0
18;11:34:46:843;11:34:51:210;11:34:48:526;97.2342;102.691657143;102.807485714;96.0711428571;3.77751942605;1.15078501599;15.8924732092;17.6389742144;0
19;11:34:47:000;11:34:51:367;11:34:49:183;98.5913428571;103.139514286;99.1016285714;100.144857143;3.77751942605;1.15078501599;15.8924732092;17.6389742144;0
20;11:34:47:156;11:34:51:523;11:34:49:339;99.9484857143;103.587371429;95.3957714286;104.218571429;3.77751942605;1.15078501599;15.8924732092;17.6389742144;0
21;11:34:47:312;11:34:51:679;11:34:49:495;100.509542857;103.986742857;91.6899142857;108.292285714;1.8657617972;1.07478896818;15.8924732092;17.6389742144;0
22;11:34:47:468;11:34:51:835;11:34:49:651;101.143542857;104.313028571;92.2483428571;107.889914286;1.8657617972;1.07478896818;23.7353253821;1.01399760786;1
23;11:34:47:625;11:34:51:992;11:34:49:808;101.777542857;104.639314286;92.8069142857;107.434628571;1.8657617972;1.07478896818;23.7353253821;1.01399760786;1
24;11:34:47:781;11:34:52:148;11:34:49:464;102.3092;104.9656;93.3654857143;105.3342;0.411267350632;1.07478896818;23.7353253821;5.96739535294;0
25;11:34:47:937;11:34:52:304;11:34:49:620;102.691657143;102.807485714;96.0711428571;102.519571429;1.15078501599;15.8924732092;17.6389742144;23.2217477386;0
26;11:34:48:093;11:34:52:460;11:34:50:276;103.139514286;99.1016285714;100.144857143;96.6574285714;1.15078501599;15.8924732092;17.6389742144;23.2217484486;0
27;11:34:48:250;11:34:52:617;11:34:50:433;103.587371429;95.3957714286;104.218571429;90.7952857143;1.15078501599;15.8924732092;17.6389742144;23.2217484486;0
28;11:34:48:406;11:34:52:773;11:34:50:589;103.986742857;91.6899142857;108.292285714;84.9331428571;1.07478896818;15.8924732092;17.6389742144;23.2217484486;0
29;11:34:48:562;11:34:52:929;11:34:50:745;104.313028571;92.2483428571;107.889914286;81.0492857143;1.07478896818;23.7353253821;1.01399760786;29.4133629231;0
30;11:34:48:718;11:34:53:085;11:34:50:401;104.639314286;92.8069142857;107.434628571;78.3958571429;1.07478896818;23.7353253821;1.01399760786;29.4133629231;0
31;11:34:48:875;11:34:53:242;11:34:50:558;104.9656;93.3654857143;105.3342;77.3875714286;1.07478896818;23.7353253821;5.96739535294;28.819512527;0
32;11:34:49:031;11:34:53:398;11:34:51:214;102.807485714;96.0711428571;102.519571429;77.1699142857;15.8924732092;17.6389742144;23.2217477386;18.0716932386;0
33;11:34:49:187;11:34:53:554;11:34:51:370;99.1016285714;100.144857143;96.6574285714;82.9782;15.8924732092;17.6389742144;23.2217484486;21.111032861;0
34;11:34:49:343;11:34:53:710;11:34:51:526;95.3957714286;104.218571429;90.7952857143;88.7866285714;15.8924732092;17.6389742144;23.2217484486;21.111032861;0
35;11:34:49:500;11:34:53:867;11:34:51:683;91.6899142857;108.292285714;84.9331428571;94.5950571429;15.8924732092;17.6389742144;23.2217484486;21.111032861;0
36;11:34:49:656;11:34:54:023;11:34:51:339;92.2483428571;107.889914286;81.0492857143;98.5944;23.7353253821;1.01399760786;29.4133629231;10.9179118443;1
37;11:34:49:812;11:34:54:179;11:34:51:495;92.8069142857;107.434628571;78.3958571429;101.352542857;23.7353253821;1.01399760786;29.4133629231;10.9179118443;1
38;11:34:49:968;11:34:54:335;11:34:51:651;93.3654857143;105.3342;77.3875714286;104.110685714;23.7353253821;5.96739535294;28.819512527;10.9179118443;1
39;11:34:50:125;11:34:54:492;11:34:52:308;96.0711428571;102.519571429;77.1699142857;106.868828571;17.6389742144;23.2217477386;18.0716932386;10.9179118443;1
40;11:34:50:281;11:34:54:648;11:34:52:464;100.144857143;96.6574285714;82.9782;106.471685714;17.6389742144;23.2217484486;21.111032861;1.61111501329;1
41;11:34:50:437;11:34:54:804;11:34:52:620;104.218571429;90.7952857143;88.7866285714;105.880542857;17.6389742144;23.2217484486;21.111032861;1.61111501329;0
42;11:34:50:593;11:34:54:960;11:34:52:776;108.292285714;84.9331428571;94.5950571429;105.2894;17.6389742144;23.2217484486;21.111032861;1.61111501329;0
43;11:34:50:750;11:34:55:117;11:34:52:433;107.889914286;81.0492857143;98.5944;104.740857143;1.01399760786;29.4133629231;10.9179118443;1.57624156362;0
44;11:34:50:906;11:34:55:273;11:34:52:589;107.434628571;78.3958571429;101.352542857;104.355285714;1.01399760786;29.4133629231;10.9179118443;1.61024318864;0
45;11:34:51:062;11:34:55:429;11:34:53:245;105.3342;77.3875714286;104.110685714;103.969857143;5.96739535294;28.819512527;10.9179118443;1.61024318864;0
46;11:34:51:218;11:34:55:585;11:34:53:401;102.519571429;77.1699142857;106.868828571;103.584428571;23.2217477386;18.0716932386;10.9179118443;1.61024318864;0
47;11:34:51:375;11:34:55:742;11:34:53:558;96.6574285714;82.9782;106.471685714;103.623142857;23.2217484486;21.111032861;1.61111501329;1.12363818656;1
48;11:34:51:531;11:34:55:898;11:34:53:714;90.7952857143;88.7866285714;105.880542857;104.055571429;23.2217484486;21.111032861;1.61111501329;1.12363818656;1
49;11:34:51:687;11:34:56:054;11:34:53:370;84.9331428571;94.5950571429;105.2894;104.488;23.2217484486;21.111032861;1.61111501329;1.12363818656;1
50;11:34:51:843;11:34:56:210;11:34:53:526;81.0492857143;98.5944;104.740857143;104.920428571;29.4133629231;10.9179118443;1.57624156362;1.12363818656;1
51;11:34:52:000;11:34:56:367;11:34:54:183;78.3958571429;101.352542857;104.355285714;105.175371429;29.4133629231;10.9179118443;1.61024318864;1.15230678753;1
52;11:34:52:156;11:34:56:523;11:34:54:339;77.3875714286;104.110685714;103.969857143;105.378371429;28.819512527;10.9179118443;1.61024318864;1.15230678753;1
53;11:34:52:312;11:34:56:679;11:34:54:495;77.1699142857;106.868828571;103.584428571;105.581371429;18.0716932386;10.9179118443;1.61024318864;1.15230678753;1
54;11:34:52:468;11:34:56:835;11:34:54:651;82.9782;106.471685714;103.623142857;105.651371429;21.111032861;1.61111501329;1.12363818656;0.41664591437;1
55;11:34:52:625;11:34:56:992;11:34:54:808;88.7866285714;105.880542857;104.055571429;105.677514286;21.111032861;1.61111501329;1.12363818656;0.647086013296;1
56;11:34:52:781;11:34:57:148;11:34:54:464;94.5950571429;105.2894;104.488;105.7038;21.111032861;1.61111501329;1.12363818656;0.647086013296;1
57;11:34:52:937;11:34:57:304;11:34:54:620;98.5944;104.740857143;104.920428571;105.730085714;10.9179118443;1.57624156362;1.12363818656;0.647086013296;1
58;11:34:53:093;11:34:57:460;11:34:55:276;101.352542857;104.355285714;105.175371429;105.741142857;10.9179118443;1.61024318864;1.15230678753;0.896872193868;0
59;11:34:53:250;11:34:57:617;11:34:55:433;104.110685714;103.969857143;105.378371429;105.664428571;10.9179118443;1.61024318864;1.15230678753;0.896872193868;0
60;11:34:53:406;11:34:57:773;11:34:55:589;106.868828571;103.584428571;105.581371429;105.587714286;10.9179118443;1.61024318864;1.15230678753;0.896872193868;0
61;11:34:53:562;11:34:57:929;11:34:55:745;106.471685714;103.623142857;105.651371429;105.511;1.61111501329;1.12363818656;0.41664591437;0.896872193868;0
62;11:34:53:718;11:34:58:085;11:34:55:401;105.880542857;104.055571429;105.677514286;105.591857143;1.61111501329;1.12363818656;0.647086013296;1.44825179204;0
63;11:34:53:875;11:34:58:242;11:34:55:558;105.2894;104.488;105.7038;105.751142857;1.61111501329;1.12363818656;0.647086013296;1.44825179204;0
64;11:34:54:031;11:34:58:398;11:34:56:214;104.740857143;104.920428571;105.730085714;105.910428571;1.57624156362;1.12363818656;0.647086013296;1.44825179204;0
65;11:34:54:187;11:34:58:554;11:34:56:370;104.355285714;105.175371429;105.741142857;106.157485714;1.61024318864;1.15230678753;0.896872193868;1.24316211684;0
66;11:34:54:343;11:34:58:710;11:34:56:526;103.969857143;105.378371429;105.664428571;106.522771429;1.61024318864;1.15230678753;0.896872193868;1.24316408674;0
67;11:34:54:500;11:34:58:867;11:34:56:683;103.584428571;105.581371429;105.587714286;106.888057143;1.61024318864;1.15230678753;0.896872193868;1.24316408674;0
68;11:34:54:656;11:34:59:023;11:34:56:339;103.623142857;105.651371429;105.511;107.253342857;1.12363818656;0.41664591437;0.896872193868;1.24316408674;0
69;11:34:54:812;11:34:59:179;11:34:56:495;104.055571429;105.677514286;105.591857143;107.456457143;1.12363818656;0.647086013296;1.44825179204;0.583828972264;0
70;11:34:54:968;11:34:59:335;11:34:56:651;104.488;105.7038;105.751142857;107.619028571;1.12363818656;0.647086013296;1.44825179204;0.583828972264;0
71;11:34:55:125;11:34:59:492;11:34:57:308;104.920428571;105.730085714;105.910428571;107.7816;1.12363818656;0.647086013296;1.44825179204;0.583828972264;0
72;11:34:55:281;11:34:59:648;11:34:57:464;105.175371429;105.741142857;106.157485714;107.949542857;1.15230678753;0.896872193868;1.24316211684;0.577571549365;0
73;11:34:55:437;11:34:59:804;11:34:57:620;105.378371429;105.664428571;106.522771429;108.138971429;1.15230678753;0.896872193868;1.24316408674;0.57757134596;0
74;11:34:55:593;11:34:59:960;11:34:57:776;105.581371429;105.587714286;106.888057143;108.3284;1.15230678753;0.896872193868;1.24316408674;0.57757134596;0
