Time_GPS;Latitude_GPS;Longitude_GPS;Accuracy_GPS;Altitude_GPS;Speed_GPS;Bearing_GPS
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
10:28:29:413;48.74713109;9.108493673;20;499;0;0
