time_Biotrace;accel_x;accel_y;accel_z;lightning;speed_GPS;bearing_GPS
10:30:23:007;0.019153614;0.11492168;10.132261;2955.1646;0;0
10:30:23:015;0.019153614;0.11492168;10.132261;2955.1646;0;0
10:30:23:023;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:031;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:039;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:046;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:054;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:062;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:070;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:078;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:085;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:093;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:101;-0.30645782;0.2873042;9.749189;2955.1646;0;0
10:30:23:109;-0.30645782;0.2873042;9.749189;2829.5742;0;0
10:30:23:117;-0.30645782;0.2873042;9.749189;2829.5742;0;0
10:30:23:125;-0.30645782;0.2873042;9.749189;2829.5742;0;0
10:30:23:132;-0.30645782;0.2873042;9.749189;2829.5742;0;0
10:30:23:140;-0.30645782;0.2873042;9.749189;2829.5742;0;0
10:30:23:148;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:156;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:164;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:171;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:179;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:187;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:195;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:203;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:210;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:218;-0.17238252;0.24899697;9.902418;2829.5742;0;0
10:30:23:226;-0.17238252;0.24899697;9.902418;2785.2407;0;0
10:30:23:234;-0.17238252;0.24899697;9.902418;2785.2407;0;0
10:30:23:242;-0.17238252;0.24899697;9.902418;2785.2407;0;0
10:30:23:250;-0.17238252;0.24899697;9.902418;2785.2407;0;0
10:30:23:257;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:265;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:273;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:281;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:289;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:296;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:304;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:312;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:320;-0.36391866;0.21068975;9.940725;2785.2407;0;0
10:30:23:328;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:335;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:343;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:351;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:359;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:367;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:375;-0.36391866;0.21068975;9.940725;2774.267;0;0
10:30:23:382;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:390;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:398;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:406;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:414;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:421;-0.22984336;0.36391866;9.844957;2774.267;0;0
10:30:23:429;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:437;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:445;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:453;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:460;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:468;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:476;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:484;-0.22984336;0.36391866;9.844957;3026.002;0;0
10:30:23:492;-0.1340753;0.076614454;9.9790325;3026.002;0;0
10:30:23:500;-0.1340753;0.076614454;9.9790325;3026.002;0;0
10:30:23:507;-0.1340753;0.076614454;9.9790325;3026.002;0;0
10:30:23:515;-0.1340753;0.076614454;9.9790325;3026.002;0;0
10:30:23:523;-0.1340753;0.076614454;9.9790325;3026.002;0;0
10:30:23:531;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:539;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:546;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:554;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:562;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:570;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:578;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:585;-0.1340753;0.076614454;9.9790325;2897.4011;0;0
10:30:23:593;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:601;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:609;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:617;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:625;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:632;-0.11492168;0.095768064;10.0748005;2897.4011;0;0
10:30:23:640;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:648;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:656;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:664;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:671;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:679;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:687;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:695;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:703;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:710;-0.11492168;0.095768064;10.0748005;2583.9583;0;0
10:30:23:718;-0.32561144;0.15322891;10.036493;2583.9583;0;0
10:30:23:726;-0.32561144;0.15322891;10.036493;2583.9583;0;0
10:30:23:734;-0.32561144;0.15322891;10.036493;2583.9583;0;0
10:30:23:742;-0.32561144;0.15322891;10.036493;2583.9583;0;0
10:30:23:750;-0.32561144;0.15322891;10.036493;2583.9583;0;0
10:30:23:757;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:765;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:773;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:781;-0.32561144;0.15322891;10.036493;2763.3352;0;0
10:30:23:789;-0.32561144;0.15322891;10.036493;2763.3352;0;0
