(time1+time2)/2;stress/non-stress
10:32:53:605;0
10:32:53:761;0
10:32:53:417;0
10:32:53:573;0
10:32:54:230;0
10:32:54:386;0
10:32:54:542;0
10:32:54:698;0
10:32:54:355;0
10:32:54:511;0
10:32:54:667;0
10:32:55:323;0
10:32:55:480;0
10:32:55:636;0
10:32:55:792;0
10:32:55:448;0
10:32:55:605;0
10:32:56:261;0
10:32:56:417;0
10:32:56:573;0
10:32:56:730;0
10:32:56:386;0
10:32:56:542;0
10:32:57:198;0
10:32:57:355;0
10:32:57:511;0
10:32:57:667;0
10:32:27:323;0
10:32:27:480;0
10:32:27:636;0
10:32:28:292;0
10:32:28:448;0
10:32:28:605;0
10:32:28:761;0
10:32:28:417;0
10:32:28:573;0
10:32:29:230;0
10:32:29:386;1
10:32:29:542;1
10:32:29:698;0
10:32:29:355;0
10:32:29:511;0
10:32:29:667;0
10:32:30:323;0
10:32:30:480;0
10:32:30:636;0
10:32:30:792;0
10:32:30:448;0
10:32:30:605;0
10:32:31:261;0
10:32:31:417;0
10:32:31:573;0
10:32:31:730;0
10:32:31:386;0
10:32:31:542;1
10:33:2:198;1
10:33:2:355;1
10:33:2:511;1
10:33:2:667;1
10:33:2:323;0
10:33:2:480;0
10:33:2:636;0
10:33:3:292;0
10:33:3:448;0
10:33:3:605;0
10:33:3:761;0
10:33:3:417;0
10:33:3:573;0
10:33:4:230;0
10:33:4:386;0
10:33:4:542;0
10:33:4:698;0
10:33:4:355;0
10:33:4:511;0
10:33:4:667;0
10:33:5:323;0
10:33:5:480;0
10:33:5:636;0
10:33:5:792;0
10:33:5:448;0
10:33:5:605;0
10:33:6:261;0
10:33:6:417;0
10:33:6:573;0
10:33:6:730;0
10:33:6:386;0
10:33:6:542;0
10:33:7:198;0
10:33:7:355;0
10:33:7:511;0
10:33:7:667;0
10:33:7:323;0
10:33:7:480;0
10:33:7:636;0
10:33:8:292;0
10:33:8:448;0
10:33:8:605;0
10:33:8:761;0
10:33:8:417;0
10:33:8:573;0
10:33:9:230;0
10:33:9:386;0
10:33:9:542;0
10:33:9:698;0
10:33:9:355;0
10:33:9:511;0
10:33:9:667;0
10:33:10:323;0
10:33:10:480;0
10:33:10:636;0
10:33:10:792;0
10:33:10:448;0
10:33:10:605;0
10:33:11:261;0
10:33:11:417;0
10:33:11:573;0
10:33:11:730;0
10:33:11:386;0
10:33:11:542;0
10:33:12:198;0
10:33:12:355;0
10:33:12:511;0
10:33:12:667;0
10:33:12:323;0
10:33:12:480;0
10:33:12:636;0
10:33:13:292;0
10:33:13:448;0
10:33:13:605;0
10:33:13:761;0
10:33:13:417;0
10:33:13:573;0
10:33:14:230;0
10:33:14:386;0
10:33:14:542;0
10:33:14:698;0
10:33:14:355;0
10:33:14:511;0
10:33:14:667;0
10:33:15:323;0
10:33:15:480;0
10:33:15:636;0
10:33:15:792;0
10:33:15:448;0
10:33:15:605;0
10:33:16:261;0
10:33:16:417;0
10:33:16:573;0
10:33:16:730;0
10:33:16:386;0
10:33:16:542;0
10:33:17:198;0
10:33:17:355;0
10:33:17:511;0
10:33:17:667;0
10:33:17:323;0
10:33:17:480;0
10:33:17:636;0
10:33:18:292;0
10:33:18:448;0
10:33:18:605;0
10:33:18:761;0
10:33:18:417;0
10:33:18:573;0
10:33:19:230;0
10:33:19:386;0
10:33:19:542;0
10:33:19:698;0
10:33:19:355;0
10:33:19:511;0
10:33:19:667;0
10:33:20:323;0
10:33:20:480;0
10:33:20:636;0
10:33:20:792;0
10:33:20:448;0
10:33:20:605;0
10:33:21:261;0
10:33:21:417;0
10:33:21:573;0
10:33:21:730;0
10:33:21:386;1
10:33:21:542;1
10:33:22:198;1
10:33:22:355;0
10:33:22:511;0
10:33:22:667;0
10:33:22:323;0
10:33:22:480;0
10:33:22:636;0
10:33:23:292;0
10:33:23:448;0
10:33:23:605;0
10:33:23:761;0
10:33:23:417;0
10:33:23:573;0
10:33:24:230;0
10:33:24:386;0
10:33:24:542;0
10:33:24:698;0
10:33:24:355;0
10:33:24:511;0
10:33:24:667;0
10:33:25:323;0
10:33:25:480;0
10:33:25:636;0
10:33:25:792;0
10:33:25:448;0
10:33:25:605;0
10:33:26:261;0
10:33:26:417;0
10:33:26:573;0
10:33:26:730;0
10:33:26:386;0
10:33:26:542;0
10:33:27:198;0
10:33:27:355;0
10:33:27:511;0
10:33:27:667;0
10:33:27:323;0
10:33:27:480;0
10:33:27:636;0
10:33:28:292;0
10:33:28:448;0
10:33:28:605;0
10:33:28:761;0
10:33:28:417;0
10:33:28:573;0
10:33:29:230;0
10:33:29:386;0
10:33:29:542;0
10:33:29:698;0
10:33:29:355;0
10:33:29:511;0
10:33:29:667;0
10:33:30:323;0
10:33:30:480;0
10:33:30:636;0
10:33:30:792;0
10:33:30:448;0
10:33:30:605;0
10:33:31:261;0
10:33:31:417;0
10:33:31:573;0
10:33:31:730;0
10:33:31:386;0
10:33:31:542;0
10:33:32:198;0
10:33:32:355;0
10:33:32:511;1
10:33:32:667;0
10:33:32:323;0
10:33:32:480;0
10:33:32:636;0
10:33:33:292;0
10:33:33:448;0
10:33:33:605;0
10:33:33:761;0
10:33:33:417;0
10:33:33:573;0
10:33:34:230;0
10:33:34:386;0
10:33:34:542;0
10:33:34:698;0
10:33:34:355;0
10:33:34:511;0
10:33:34:667;0
10:33:35:323;0
10:33:35:480;0
10:33:35:636;0
10:33:35:792;0
10:33:35:448;0
10:33:35:605;0
10:33:36:261;0
10:33:36:417;0
10:33:36:573;0
10:33:36:730;0
10:33:36:386;0
10:33:36:542;0
10:33:37:198;0
10:33:37:355;0
10:33:37:511;0
10:33:37:667;0
10:33:37:323;0
10:33:37:480;0
10:33:37:636;0
10:33:38:292;0
10:33:38:448;0
10:33:38:605;0
10:33:38:761;0
10:33:38:417;0
10:33:38:573;0
10:33:39:230;0
10:33:39:386;0
10:33:39:542;0
10:33:39:698;1
10:33:39:355;1
10:33:39:511;1
10:33:39:667;0
10:33:40:323;1
10:33:40:480;1
10:33:40:636;1
10:33:40:792;0
10:33:40:448;1
10:33:40:605;1
10:33:41:261;1
10:33:41:417;0
10:33:41:573;1
10:33:41:730;1
