median(time1,time1+559);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stressOrNonStress
12:40:53:187;0.410468777929;0.00690437725615;-0.4001211021216924;0.47884035;0.114169217011;0.00419475029476;-0.6137192791699029;0.19153613;9.9874806;0.0057361539448;0.3974209263245121;10.055647;639.284867464;591.41578401;-0.9856798278640171;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:53:343;0.412726168054;0.00673759596303;-0.30881749304263595;0.47884035;0.116768635955;0.00408708784859;-0.5494512559071505;0.19153613;9.98525743125;0.00584411210828;0.23600358355575857;10.055647;640.131249429;584.198462236;-0.9998907711397265;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:53:500;0.413170805589;0.00665927421442;-0.26795203957411307;0.47884035;0.120907184539;0.00387844857754;-0.4723189880214216;0.19153613;9.98672815893;0.00608240600179;0.06983996748328414;10.055647;639.659761839;558.017434439;-0.8607971019331266;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:53:656;0.411871096161;0.00665065956208;-0.2586855852182386;0.47884035;0.121078198954;0.00389274983725;-0.5114599984873487;0.19153613;9.98382091964;0.00597130025637;0.08214087885573651;10.055647;641.441839518;540.184210077;-0.883538101772769;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:53:812;0.411289647089;0.00671591191894;-0.2990871639057344;0.47884035;0.122412111182;0.00375204066426;-0.4416803432719294;0.19153613;9.98211077143;0.0061419798256;-0.09109044047438042;10.055647;642.85876525;546.818990454;-0.9415485556749683;667.6085;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:53:968;0.407390519232;0.00657878843212;-0.1792119725339667;0.45968673;0.125627181939;0.00364506140753;-0.40062529108109635;0.19153613;9.982863225;0.00603851542872;-0.0008126824604990368;10.055647;642.561234679;565.739909024;-0.9931010962695934;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:54:125;0.405098926679;0.00679046469837;-0.27368383068594815;0.45968673;0.122480516925;0.00363440186654;-0.375944042018002;0.17238252;9.98423134643;0.00603009282661;0.034711376784077874;10.055647;642.797862982;566.970365687;-1.012806157831959;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:54:281;0.398292553339;0.00602790750534;-0.23733464841035046;0.45968673;0.1228225458;0.00375489507762;-0.41001936638958236;0.17238252;9.98453917321;0.00606413834335;0.017951550399625482;10.055647;643.335800286;548.163174236;-0.9503837170737097;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;1
12:40:54:437;0.397471683518;0.00587403179548;-0.32719789996945137;0.45968673;0.125969210696;0.00400186170535;-0.46364040455592503;0.19153613;9.98241860714;0.00607775526363;-0.02366642023560006;10.055647;644.309748321;563.700349478;-1.024100722028475;669.7197;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;1
12:40:54:593;0.400891971304;0.00557778223269;-0.1632725746109429;0.45968673;0.124122255075;0.00384665707464;-0.3222956297808097;0.17238252;9.98310266786;0.00581061062332;0.15695590837756956;10.055647;643.707279571;559.311096452;-1.0113139222723255;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:54:750;0.401234000143;0.00576724907283;-0.1984846369117439;0.45968673;0.125763993543;0.00376396363618;-0.2504034636369088;0.17238252;9.98070845982;0.0056330760242;0.27667798300110835;10.036493;642.479320107;528.994328163;-1.0280098810812328;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:54:906;0.396411393536;0.00621854996937;-0.21142450131959212;0.45968673;0.12295935725;0.00352866729302;-0.06664498478343983;0.17238252;9.97910092054;0.00559722943014;0.2815149267923793;10.036493;641.923878875;524.619322811;-0.9991121144899595;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:062;0.398292551929;0.00598467027663;-0.17521302580635556;0.45968673;0.124224863777;0.00338159654678;0.06990591774431598;0.17238252;9.97732237768;0.00526020623416;0.0870779118848426;10.036493;641.988824946;526.709663891;-1.0104455964918344;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:218;0.401541825286;0.00550506633888;-0.1047594595709409;0.45968673;0.123711820441;0.0033928445289;0.06066512042217864;0.17238252;9.97961397054;0.00449173240109;-0.43838082655110355;10.036493;641.467616518;501.242048093;-0.9732528625843937;667.0807;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:375;0.406056605;0.00497201375159;0.16774816717996233;0.4405331;0.126516456809;0.00293867634073;-0.23400621313649195;0.17238252;9.97831425268;0.00437232597351;-0.3554428994291259;10.036493;641.150473946;477.426312173;-0.8747232210296318;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:531;0.407493126;0.00484888607323;0.28405114085885597;0.4405331;0.126311239614;0.00302462660901;-0.19844384647156987;0.17238252;9.97554382411;0.00423292451891;-0.1844358464372413;10.036493;641.601462911;458.82074829;-0.7790793608030224;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:687;0.409305878661;0.00477343981395;0.37622601675064615;0.45968673;0.124156457989;0.00315750722774;-0.2792176435629714;0.17238252;9.96907949196;0.0035924659573;-0.6761643677385174;10.01734;641.267585589;435.450306381;-0.8263631595708736;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:55:843;0.41272616625;0.00540117430972;0.9085834316343466;0.45968673;0.123917037764;0.00318480069943;-0.2953162833973457;0.17238252;9.97010558839;0.00323842457299;-0.9139084045040122;10.01734;641.248799393;463.225638263;-0.9469662672270425;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:000;0.410605587875;0.0052761233679;1.1731225970405141;0.45968673;0.12480631275;0.0031745622806;-0.30718886607907425;0.17238252;9.96866908839;0.0034308274138;-0.9967930031561147;10.01734;641.520189214;457.742099002;-0.926881492438246;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:156;0.409134864018;0.0052638879866;1.183183501720551;0.4405331;0.125695587771;0.00336713619223;-0.029204399475003306;0.17238252;9.96935314286;0.00347205179619;-1.0372839986286946;10.01734;641.54836375;459.054789745;-0.9373667908556027;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:312;0.405577764089;0.00498331409918;1.5094183812532176;0.4405331;0.122959357414;0.00348411992206;0.33857826617777187;0.17238252;9.96870328482;0.00336929885902;-1.0408944858982878;10.01734;641.558755179;460.788865224;-0.9508414098905127;664.45245;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:468;0.399831680446;0.0055548308444;1.076497817709348;0.4405331;0.124464284629;0.00384286697111;0.4030511540651913;0.17238252;9.96459893839;0.00334627733316;-1.0675514332121299;10.01734;640.962965536;438.003308288;-0.8842682486113476;661.83417;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:625;0.397711101768;0.00549432222189;1.1952123707223423;0.4405331;0.124908922082;0.00383745881011;0.37930037701724206;0.17238252;9.96035779375;0.00310235202747;-1.042531280598848;10.01734;641.443987143;417.997969265;-0.8249827472246896;661.83417;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:781;0.395248494625;0.00545029893849;1.3101176481731018;0.4405331;0.128466021868;0.00398435291026;0.03969272792549994;0.17238252;9.95933171339;0.00314158780854;-1.0386128640501693;10.01734;641.424768089;416.548640607;-0.8044613020558855;661.83417;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
12:40:56:937;0.395932552125;0.00545937686942;1.2815050294845767;0.4405331;0.129526311357;0.00402722392837;-0.040370908103954495;0.17238252;9.95635609018;0.00330831863542;-1.0636981446590368;10.01734;641.056876839;384.578010291;-0.8253414902867351;659.2266;0.375926;0.0;-3.0;0.375926;0.0;0.0;-3.0;0.0;0
